GO:0004866	endopeptidase inhibitor activity
GO:0043430	2-decaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0047560	3-dehydrosphinganine reductase activity
GO:0052642	lysophosphatidic acid phosphatase activity
GO:0003914	DNA (6-4) photolyase activity
GO:0001163	RNA polymerase I transcription regulatory region sequence-specific DNA binding
GO:0043024	ribosomal small subunit binding
GO:0045499	chemorepellent activity
GO:0043027	cysteine-type endopeptidase inhibitor activity involved in apoptotic process
GO:0016757	transferase activity, transferring glycosyl groups
GO:0015152	glucose-6-phosphate transmembrane transporter activity
GO:0016758	transferase activity, transferring hexosyl groups
GO:0015150	fucose transmembrane transporter activity
GO:0000993	RNA polymerase II complex binding
GO:0010436	carotenoid dioxygenase activity
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0050104	L-gulonate 3-dehydrogenase activity
GO:0008270	zinc ion binding
GO:0033897	ribonuclease T2 activity
GO:0042392	sphingosine-1-phosphate phosphatase activity
GO:0061714	folic acid receptor activity
GO:0033677	DNA/RNA helicase activity
GO:0055077	gap junction hemi-channel activity
GO:0061711	N(6)-L-threonylcarbamoyladenine synthase activity
GO:0016433	rRNA (adenine) methyltransferase activity
GO:0033679	3'-5' DNA/RNA helicase activity
GO:0003912	DNA nucleotidylexotransferase activity
GO:0016175	superoxide-generating NAD(P)H oxidase activity
GO:0016174	NAD(P)H oxidase H2O2-forming activity
GO:0016176	superoxide-generating NADPH oxidase activator activity
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0052899	N(1),N(12)-diacetylspermine
GO:0003674	molecular_function
GO:0047389	glycerophosphocholine phosphodiesterase activity
GO:0097718	disordered domain specific binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0047381	dodecanoyl-[acyl-carrier-protein] hydrolase activity
GO:0019178	NADP phosphatase activity
GO:0043546	molybdopterin cofactor binding
GO:0043544	lipoamide binding
GO:0043548	phosphatidylinositol 3-kinase binding
GO:0016287	glycerone-phosphate O-acyltransferase activity
GO:0016286	small conductance calcium-activated potassium channel activity
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0046527	glucosyltransferase activity
GO:0046526	D-xylulose reductase activity
GO:0046525	xylosylprotein 4-beta-galactosyltransferase activity
GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity
GO:0047962	glycine N-benzoyltransferase activity
GO:0003853	2-methylacyl-CoA dehydrogenase activity
GO:0033703	3beta-hydroxy-5beta-steroid dehydrogenase activity
GO:1990444	F-box domain binding
GO:1990447	U2 snRNP binding
GO:1990446	U1 snRNP binding
GO:1990448	exon-exon junction complex binding
GO:0001653	peptide receptor activity
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0046703	natural killer cell lectin-like receptor binding
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
GO:0050815	phosphoserine residue binding
GO:0050816	phosphothreonine residue binding
GO:0047655	allyl-alcohol dehydrogenase activity
GO:0030276	clathrin binding
GO:0050811	GABA receptor binding
GO:0030274	LIM domain binding
GO:0019171	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
GO:0015233	pantothenate transmembrane transporter activity
GO:0047860	diiodophenylpyruvate reductase activity
GO:0048101	calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodiesterase activity
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process
GO:0097157	pre-mRNA intronic binding
GO:0097158	pre-mRNA intronic pyrimidine-rich binding
GO:0097159	organic cyclic compound binding
GO:0001626	nociceptin receptor activity
GO:0016723	oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor
GO:0008294	calcium- and calmodulin-responsive adenylate cyclase activity
GO:0035718	macrophage migration inhibitory factor binding
GO:1901612	cardiolipin binding
GO:0035717	chemokine (C-C motif) ligand 7 binding
GO:0019784	NEDD8-specific protease activity
GO:0034711	inhibin binding
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
GO:0017025	TBP-class protein binding
GO:0061665	SUMO ligase activity
GO:0061663	NEDD8 ligase activity
GO:0017022	myosin binding
GO:0042578	phosphoric ester hydrolase activity
GO:0060590	ATPase regulator activity
GO:0009917	sterol 5-alpha reductase activity
GO:0001587	Gq/11-coupled serotonin receptor activity
GO:0035538	carbohydrate response element binding
GO:0042577	lipid phosphatase activity
GO:0043169	cation binding
GO:0086006	voltage-gated sodium channel activity involved in cardiac muscle cell action potential
GO:0042379	chemokine receptor binding
GO:0030380	interleukin-17E receptor binding
GO:0004083	bisphosphoglycerate 2-phosphatase activity
GO:0033871	[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity
GO:0036458	hepatocyte growth factor binding
GO:0033872	[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity
GO:0086008	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization
GO:0033885	10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity
GO:0043167	ion binding
GO:0017159	pantetheine hydrolase activity
GO:0097027	ubiquitin-protein transferase activator activity
GO:0097020	COPII receptor activity
GO:0097023	fructose 6-phosphate aldolase activity
GO:0017150	tRNA dihydrouridine synthase activity
GO:0017151	DEAD/H-box RNA helicase binding
GO:0003690	double-stranded DNA binding
GO:0003691	double-stranded telomeric DNA binding
GO:0017154	semaphorin receptor activity
GO:1903981	enterobactin binding
GO:0016231	beta-N-acetylglucosaminidase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0030247	polysaccharide binding
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding
GO:0004923	leukemia inhibitory factor receptor activity
GO:0036430	CMP kinase activity
GO:0036431	dCMP kinase activity
GO:0004860	protein kinase inhibitor activity
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity
GO:0004862	cAMP-dependent protein kinase inhibitor activity
GO:0031702	type 1 angiotensin receptor binding
GO:0004864	protein phosphatase inhibitor activity
GO:0004865	protein serine/threonine phosphatase inhibitor activity
GO:0047931	glucosamine kinase activity
GO:0004867	serine-type endopeptidase inhibitor activity
GO:0004869	cysteine-type endopeptidase inhibitor activity
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0047939	L-glucuronate reductase activity
GO:0004924	oncostatin-M receptor activity
GO:0004510	tryptophan 5-monooxygenase activity
GO:0004511	tyrosine 3-monooxygenase activity
GO:0004512	inositol-3-phosphate synthase activity
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004515	nicotinate-nucleotide adenylyltransferase activity
GO:0004516	nicotinate phosphoribosyltransferase activity
GO:0001222	transcription corepressor binding
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0005021	vascular endothelial growth factor-activated receptor activity
GO:0005020	stem cell factor receptor activity
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0005025	transforming growth factor beta receptor activity, type I
GO:0005024	transforming growth factor beta-activated receptor activity
GO:0009931	calcium-dependent protein serine/threonine kinase activity
GO:0033779	5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase activity
GO:0031839	type 1 neuromedin U receptor binding
GO:0031837	substance K receptor binding
GO:0031836	neuromedin K receptor binding
GO:0031835	substance P receptor binding
GO:0031386	protein tag
GO:0002039	p53 binding
GO:0047402	protein-glucosylgalactosylhydroxylysine glucosidase activity
GO:1902122	chenodeoxycholic acid binding
GO:0005201	extracellular matrix structural constituent
GO:0005200	structural constituent of cytoskeleton
GO:0044389	ubiquitin-like protein ligase binding
GO:0044388	small protein activating enzyme binding
GO:0004532	exoribonuclease activity
GO:0106341	omega-hydroxyceramide transacylase activity
GO:0140338	sphingomyelin transfer activity
GO:0032934	sterol binding
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
GO:0033919	glucan 1,3-alpha-glucosidase activity
GO:0044540	L-cystine L-cysteine-lyase (deaminating)
GO:0035757	chemokine (C-C motif) ligand 19 binding
GO:0008808	cardiolipin synthase activity
GO:0019763	immunoglobulin receptor activity
GO:0030729	acetoacetate-CoA ligase activity
GO:0018675	(S)-limonene 6-monooxygenase activity
GO:0102264	tRNA-dihydrouridine20 synthase activity
GO:0004464	leukotriene-C4 synthase activity
GO:0004465	lipoprotein lipase activity
GO:0004466	long-chain-acyl-CoA dehydrogenase activity
GO:0004467	long-chain fatty acid-CoA ligase activity
GO:0047451	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
GO:0004461	lactose synthase activity
GO:0005119	smoothened binding
GO:0004463	leukotriene-A4 hydrolase activity
GO:0071532	ankyrin repeat binding
GO:0005115	receptor tyrosine kinase-like orphan receptor binding
GO:0005114	type II transforming growth factor beta receptor binding
GO:0005113	patched binding
GO:0032399	HECT domain binding
GO:0005111	type 2 fibroblast growth factor receptor binding
GO:0140581	P-type monovalent copper transporter activity
GO:0002055	adenine binding
GO:0051733	polydeoxyribonucleotide kinase activity
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0008970	phospholipase A1 activity
GO:0008753	NADPH dehydrogenase (quinone) activity
GO:0036094	small molecule binding
GO:0008199	ferric iron binding
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
GO:0086089	voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization
GO:0102867	molybdenum cofactor sulfurtransferase activity
GO:0008190	eukaryotic initiation factor 4E binding
GO:0008191	metalloendopeptidase inhibitor activity
GO:0008192	RNA guanylyltransferase activity
GO:0008193	tRNA guanylyltransferase activity
GO:0008194	UDP-glycosyltransferase activity
GO:0008195	phosphatidate phosphatase activity
GO:0004648	O-phospho-L-serine
GO:0004649	poly(ADP-ribose) glycohydrolase activity
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity
GO:0004642	phosphoribosylformylglycinamidine synthase activity
GO:0140554	L-arginine 3-hydroxylase activity
GO:0004644	phosphoribosylglycinamide formyltransferase activity
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
GO:0102193	protein-ribulosamine 3-kinase activity
GO:0000175	3'-5'-exoribonuclease activity
GO:0004888	transmembrane signaling receptor activity
GO:0004883	glucocorticoid receptor activity
GO:0008126	acetylesterase activity
GO:0008020	G protein-coupled photoreceptor activity
GO:1905056	calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration
GO:0015093	ferrous iron transmembrane transporter activity
GO:0102341	3-oxo-lignoceroyl-CoA reductase activity
GO:0008378	galactosyltransferase activity
GO:0008379	thioredoxin peroxidase activity
GO:0001883	purine nucleoside binding
GO:0008374	O-acyltransferase activity
GO:0008375	acetylglucosaminyltransferase activity
GO:0008376	acetylgalactosaminyltransferase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003851	2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity
GO:0008373	sialyltransferase activity
GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs
GO:0015234	thiamine transmembrane transporter activity
GO:0102991	myristoyl-CoA hydrolase activity
GO:0015232	heme transmembrane transporter activity
GO:0015230	FAD transmembrane transporter activity
GO:0070643	vitamin D 25-hydroxylase activity
GO:0043890	N-acetylgalactosamine-6-sulfatase activity
GO:0016964	alpha-2 macroglobulin receptor activity
GO:0070644	vitamin D response element binding
GO:0004082	bisphosphoglycerate mutase activity
GO:0005221	intracellular cyclic nucleotide activated cation channel activity
GO:0004080	biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity
GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
GO:0004084	branched-chain-amino-acid transaminase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003986	acetyl-CoA hydrolase activity
GO:0003987	acetate-CoA ligase activity
GO:0003984	acetolactate synthase activity
GO:0004089	carbonate dehydratase activity
GO:0003983	UTP
GO:0003980	UDP-glucose
GO:0032393	MHC class I receptor activity
GO:0032422	purine-rich negative regulatory element binding
GO:0032397	activating MHC class I receptor activity
GO:0032396	inhibitory MHC class I receptor activity
GO:0047198	cysteine-S-conjugate N-acetyltransferase activity
GO:0032394	MHC class Ib receptor activity
GO:0032428	beta-N-acetylgalactosaminidase activity
GO:0018636	phenanthrene 9,10-monooxygenase activity
GO:0008574	ATP-dependent microtubule motor activity, plus-end-directed
GO:0044020	histone methyltransferase activity (H4-R3 specific)
GO:0016531	copper chaperone activity
GO:0015099	nickel cation transmembrane transporter activity
GO:0015098	molybdate ion transmembrane transporter activity
GO:0016530	metallochaperone activity
GO:0003968	RNA-directed 5'-3' RNA polymerase activity
GO:0008144	drug binding
GO:0015095	magnesium ion transmembrane transporter activity
GO:0016615	malate dehydrogenase activity
GO:0071916	dipeptide transmembrane transporter activity
GO:0090422	thiamine pyrophosphate transmembrane transporter activity
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0051213	dioxygenase activity
GO:0071913	citrate secondary active transmembrane transporter activity
GO:0016618	hydroxypyruvate reductase activity
GO:0051219	phosphoprotein binding
GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0008579	JUN kinase phosphatase activity
GO:0010736	serum response element binding
GO:0046848	hydroxyapatite binding
GO:0050062	long-chain-fatty-acyl-CoA reductase activity
GO:0001691	pseudophosphatase activity
GO:0038062	protein tyrosine kinase collagen receptor activity
GO:0017057	6-phosphogluconolactonase activity
GO:0038064	collagen receptor activity
GO:0036312	phosphatidylinositol 3-kinase regulatory subunit binding
GO:0050436	microfibril binding
GO:0106228	peptide glutaryltransferase activity
GO:0035715	chemokine (C-C motif) ligand 2 binding
GO:0043425	bHLH transcription factor binding
GO:0005149	interleukin-1 receptor binding
GO:0043423	3-phosphoinositide-dependent protein kinase binding
